,Market,Rating Agency,Stock,Date,Variation
0,^N225,Moody's,3382.T,2021-01-25,Decreased
2,^N225,Moody's,3382.T,2018-09-12,N/A
4,^N225,Moody's,4502.T,2018-12-17,Decreased
6,^N225,Moody's,4502.T,2018-05-09,N/A
7,^N225,Moody's,4502.T,2018-05-09,Decreased
8,^N225,Moody's,4502.T,2017-02-27,N/A
10,^N225,Moody's,5401.T,2020-02-26,Decreased
11,^N225,Moody's,5401.T,2016-04-21,N/A
12,^N225,Moody's,6752.T,2020-02-10,Decreased
13,^N225,Moody's,6752.T,2016-10-25,N/A
14,^N225,Moody's,6758.T,2020-12-04,Increased
16,^N225,Moody's,6758.T,2018-03-22,N/A
17,^N225,Moody's,6758.T,2018-03-22,Increased
18,^N225,Moody's,6758.T,2016-12-13,N/A
20,^N225,Moody's,7201.T,2020-02-20 / 2020-06-16,Decreased
22,^N225,Moody's,7201.T,2019-05-24,N/A
23,^N225,Moody's,7201.T,2019-05-24,Decreased
24,^N225,Moody's,7201.T,2017-01-26,N/A
26,^N225,Moody's,9101.T,2020-07-21,Increased
27,^N225,Moody's,9101.T,2018-12-21,N/A
28,^N225,Moody's,9432.T,2019-06-21,Decreased
29,^N225,Moody's,9432.T,2018-09-18,N/A
30,^N225,Moody's,9501.T,2019-11-11,Increased
31,^N225,Moody's,9501.T,2017-05-19,N/A
32,^N225,Moody's,9531.T,2020-06-11,Decreased
33,^N225,Moody's,9531.T,2016-11-22,N/A
34,^N225,Moody's,9984.T,2020-03-25,Increased
35,^N225,Moody's,9984.T,2016-07-20,N/A
